City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
119,Keflavik,IS,64.0049,-22.5624,46.31,100,75,4.61,fog
120,Jieshi,CN,22.8134,115.8257,76.95,86,100,20.2,overcast clouds
121,Port Hardy,CA,50.6996,-127.4199,51.98,71,100,14.97,overcast clouds
122,Mackay,AU,-21.15,149.2,73.69,94,75,9.22,broken clouds
123,Kaitangata,NZ,-46.2817,169.8464,51.98,74,91,3.65,overcast clouds
124,Hamilton,US,39.1834,-84.5333,73.24,37,75,9.22,broken clouds
125,Lompoc,US,34.6391,-120.4579,77.68,58,0,26.46,clear sky
126,Chaoyang,CN,41.5703,120.4586,46.78,33,98,17.2,overcast clouds
127,Pevek,RU,69.7008,170.3133,17.31,90,100,9.19,overcast clouds
128,Almaznyy,RU,48.0448,40.045,51.91,59,97,3.11,overcast clouds
129,Cherskiy,RU,68.75,161.3,10.13,94,95,7.14,overcast clouds
130,Nuevitas,CU,21.5453,-77.2644,79.27,57,28,13.35,scattered clouds
131,Pangnirtung,CA,66.1451,-65.7125,15.8,86,100,6.91,light snow
132,Katsuura,JP,35.1333,140.3,50.02,73,12,23.11,few clouds
133,Jasper,US,37.2001,-94.3502,78.24,62,100,23.02,overcast clouds
134,Padang,ID,-0.9492,100.3543,78.3,85,100,2.95,overcast clouds
135,Boyolangu,ID,-8.1181,111.8935,75.36,91,47,2.01,scattered clouds
136,Iqaluit,CA,63.7506,-68.5145,20.93,63,75,6.91,broken clouds
137,New Norfolk,AU,-42.7826,147.0587,53.92,77,100,3.0,overcast clouds
138,Ntungamo,UG,-0.8833,29.65,62.78,96,100,2.89,overcast clouds
139,Pizarro,CO,4.9533,-77.366,82.09,77,87,6.82,overcast clouds
140,Kollam,IN,8.8833,76.6,81.72,85,69,5.73,broken clouds
141,Ponta Do Sol,PT,32.6667,-17.1,63.72,69,6,3.06,clear sky
142,Pokhara,NP,28.2333,83.9833,73.58,36,43,7.02,scattered clouds
143,Gilbert,US,33.3528,-111.789,90.16,12,0,8.05,clear sky
144,Cidreira,BR,-30.1811,-50.2056,61.3,66,0,7.92,clear sky
145,Saint-Philippe,RE,-21.3585,55.7679,75.22,83,54,14.25,light rain
146,Mayo,US,38.8876,-76.5119,67.1,25,0,10.36,clear sky
147,Anadyr,RU,64.75,177.4833,33.49,80,75,6.71,broken clouds
148,Joshimath,IN,30.5667,79.5667,58.15,54,16,7.72,few clouds
149,Coralville,US,41.6764,-91.5805,61.03,80,100,10.36,overcast clouds
150,Marawi,PH,7.9986,124.2928,69.4,95,95,1.39,overcast clouds
151,Yar-Sale,RU,66.8333,70.8333,19.63,83,25,15.12,scattered clouds
152,Orsha,BY,54.5153,30.4053,33.69,72,83,4.14,broken clouds
153,Hernani,ES,43.2662,-1.9762,56.1,83,100,1.14,overcast clouds
154,Vienne,AT,48.2085,16.3721,53.8,67,0,1.99,clear sky
155,Harper,LR,4.375,-7.7169,80.49,84,39,8.08,light rain
156,Norman Wells,CA,65.282,-126.8329,41.04,52,0,10.36,clear sky
157,Ust-Tarka,RU,55.5672,75.705,56.7,49,94,6.44,overcast clouds
158,Ilulissat,GL,69.2167,-51.1,17.62,86,100,24.16,light snow
159,Abomey,BJ,7.1829,1.9912,76.51,86,98,6.33,overcast clouds
160,Irbil,IQ,36.1926,44.0106,69.62,100,25,11.5,scattered clouds
161,Yerofey Pavlovich,RU,53.9667,121.9667,31.03,57,100,2.37,overcast clouds
162,Sao Filipe,CV,14.8961,-24.4956,71.89,73,3,9.46,clear sky
163,Salalah,OM,17.0151,54.0924,84.29,84,40,3.44,scattered clouds
164,Punta Arenas,CL,-53.15,-70.9167,42.91,61,40,6.91,scattered clouds
165,Vallenar,CL,-28.5708,-70.7581,67.55,49,13,4.9,few clouds
166,La Romana,DO,18.4273,-68.9728,84.56,54,20,17.27,few clouds
167,Lata,PT,40.1629,-8.3327,56.91,73,0,1.16,clear sky
168,Talcahuano,CL,-36.7167,-73.1167,58.68,58,0,12.66,clear sky
169,Tambacounda,SN,13.7539,-13.7586,96.85,15,0,4.61,clear sky
170,Paraiso,CR,9.8383,-83.8656,72.88,87,100,2.64,overcast clouds
171,Grindavik,IS,63.8424,-22.4338,46.35,100,75,4.61,fog
172,Adrar,MR,20.5022,-10.0711,77.63,14,4,10.51,clear sky
173,Fort Nelson,CA,58.8053,-122.7002,42.39,52,75,3.44,broken clouds
174,Klaksvik,FO,62.2266,-6.589,43.72,82,100,6.82,overcast clouds
175,Shelburne,CA,44.0787,-80.2041,54.39,39,4,8.88,clear sky
176,Berlevag,NO,70.8578,29.0864,28.4,74,75,25.32,broken clouds
177,Voh,NC,-20.9667,164.7,75.78,70,60,5.35,broken clouds
178,Patu,BR,-6.11,-37.6367,77.81,55,97,7.76,overcast clouds
179,Loubomo,CG,-4.1997,12.6739,72.01,97,100,1.72,moderate rain
180,Redange,LU,49.7656,5.8908,52.61,81,99,6.85,overcast clouds
181,Pisco,PE,-13.7,-76.2167,71.65,64,0,14.97,clear sky
182,Yinchuan,CN,38.4681,106.2731,47.03,14,100,8.1,overcast clouds
183,Andilamena,MG,-17.0167,48.5833,62.04,87,96,4.36,overcast clouds
184,Coahuayana,MX,18.7333,-103.6833,86.77,50,2,7.61,clear sky
185,Makakilo City,US,21.3469,-158.0858,80.92,55,40,14.97,scattered clouds
186,Antofagasta,CL,-23.65,-70.4,63.68,75,100,7.74,overcast clouds
187,Saint George,US,37.1041,-113.5841,78.64,12,0,13.0,clear sky
188,Jamestown,US,42.097,-79.2353,55.02,35,0,10.36,clear sky
189,Port Alfred,ZA,-33.5906,26.891,62.15,80,9,18.52,clear sky
190,Smidovich,RU,48.6,133.8167,39.4,62,82,14.18,broken clouds
191,Opuwo,NA,-18.0607,13.84,73.38,42,87,2.28,overcast clouds
192,Rawson,AR,-43.3002,-65.1023,50.97,33,58,4.0,broken clouds
193,Puerto Gaitan,CO,4.3133,-72.0816,74.8,93,100,6.87,overcast clouds
194,Solnechnyy,RU,50.7214,136.6319,33.82,64,10,3.29,clear sky
195,Pindwara,IN,24.8,73.0667,80.28,47,0,5.46,clear sky
196,Tuatapere,NZ,-46.1333,167.6833,54.5,82,95,4.83,overcast clouds
197,Jumla,NP,29.2747,82.1838,51.33,66,16,4.23,few clouds
198,Beringovskiy,RU,63.05,179.3167,31.62,96,100,13.65,light snow
199,Inhambane,MZ,-23.865,35.3833,70.32,77,0,7.4,clear sky
200,Constantine,DZ,36.365,6.6147,54.81,76,75,4.61,broken clouds
201,Manzil Salim,TN,35.8567,8.4765,56.23,57,99,6.53,overcast clouds
202,Pano Aqil,PK,27.8569,69.1116,91.65,14,0,8.25,clear sky
203,Lahan,NP,26.7296,86.4951,79.93,60,9,11.65,clear sky
204,Westport,US,41.1415,-73.3579,63.28,17,0,20.71,clear sky
205,Te Anau,NZ,-45.4167,167.7167,54.81,85,94,3.89,overcast clouds
206,East Stroudsburg,US,40.9995,-75.1813,61.36,21,25,11.07,scattered clouds
207,San Patricio,US,28.017,-97.5169,86.72,61,62,18.97,broken clouds
208,Kimbe,PG,-5.5502,150.1429,79.93,86,43,1.63,scattered clouds
209,Tarko-Sale,RU,64.9225,77.785,6.03,99,37,7.25,scattered clouds
210,Mandurah,AU,-32.55,115.7,55.9,66,0,7.07,clear sky
211,Jizan,SA,17.3333,42.6667,85.14,54,11,3.76,few clouds
212,Evensk,RU,61.95,159.2333,37.94,65,34,11.18,scattered clouds
213,Haines Junction,CA,60.7522,-137.5108,48.15,46,93,6.91,overcast clouds
214,Bethel,US,41.3712,-73.414,60.89,23,0,14.97,clear sky
215,Sambava,MG,-14.2667,50.1667,74.82,82,77,11.03,broken clouds
216,Coihaique,CL,-45.5752,-72.0662,43.41,65,0,0.0,clear sky
217,Jiwani,PK,25.05,61.7417,84.34,78,1,17.18,clear sky
218,Esperance,AU,-33.8667,121.9,53.44,78,85,9.57,overcast clouds
219,Oshikango,NA,-17.4,15.8833,71.51,44,67,7.31,broken clouds
220,Remedios,CU,22.4947,-79.5458,85.12,59,0,18.84,clear sky
