City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
98,Guisa,CU,2022-04-25 20:26:15,20.255,-76.5386,79.29,71,47,6.71
99,Nantucket,US,2022-04-25 20:26:15,41.2835,-70.0995,53.74,63,0,8.05
100,Norman Wells,CA,2022-04-25 20:26:15,65.282,-126.8329,42.84,61,75,5.75
101,Koroni,GR,2022-04-25 20:26:16,36.8,21.95,67.06,67,100,9.62
102,San Cristobal,VE,2022-04-25 20:25:49,7.7669,-72.225,71.78,50,47,4.72
103,Mestia,GE,2022-04-25 20:26:16,43.0458,42.7278,45.03,80,6,3.91
104,Auki,SB,2022-04-25 20:26:17,-8.7676,160.7034,77.86,86,27,3.02
105,Kangaatsiaq,GL,2022-04-25 20:25:06,68.3065,-53.4641,29.1,77,100,5.35
106,Sumbe,AO,2022-04-25 20:26:17,-11.2061,13.8437,75.87,86,88,4.92
107,Tiksi,RU,2022-04-25 20:23:56,71.6872,128.8694,-5.85,100,99,3.11
108,Upernavik,GL,2022-04-25 20:26:18,72.7868,-56.1549,19.9,87,29,2.64
109,Yarensk,RU,2022-04-25 20:26:18,62.1675,49.0916,36.0,92,99,4.99
110,Yaring,TH,2022-04-25 20:26:18,6.8662,101.3689,79.02,88,31,4.97
111,Vestmannaeyjar,IS,2022-04-25 20:26:19,63.4427,-20.2734,45.75,85,70,12.19
112,Brae,GB,2022-04-25 20:26:19,60.3964,-1.353,43.5,77,74,15.79
113,Ribeira Grande,PT,2022-04-25 20:22:40,38.5167,-28.7,61.2,63,20,12.66
114,Wewak,PG,2022-04-25 20:26:20,-3.5534,143.6268,79.29,83,32,3.96
115,Leh,IN,2022-04-25 20:26:20,34.1667,77.5833,38.12,73,78,4.99
116,Vila Velha,BR,2022-04-25 20:26:20,-20.3297,-40.2925,80.55,76,75,10.36
117,Bambous Virieux,MU,2022-04-25 20:26:21,-20.3428,57.7575,73.65,88,40,12.66
118,Haines Junction,CA,2022-04-25 20:26:21,60.7522,-137.5108,46.35,42,94,3.44
119,Ust-Kuyga,RU,2022-04-25 20:26:22,70.0167,135.6,-9.27,100,99,0.67
120,Tasiilaq,GL,2022-04-25 20:22:44,65.6145,-37.6368,33.96,96,100,8.46
121,Havelock,US,2022-04-25 20:26:22,34.8791,-76.9013,84.16,68,0,13.8
122,Yellowknife,CA,2022-04-25 20:24:01,62.456,-114.3525,43.32,45,75,13.8
123,Coracora,PE,2022-04-25 20:26:23,-15.0333,-73.7833,59.92,60,100,10.29
124,Thunder Bay,CA,2022-04-25 20:26:23,48.4001,-89.3168,36.28,60,75,14.97
125,Camopi,GF,2022-04-25 20:26:23,3.1655,-52.3158,79.14,95,77,3.33
126,Bengkulu,ID,2022-04-25 20:23:31,-3.8004,102.2655,76.21,88,100,7.58
127,Alofi,NU,2022-04-25 20:25:12,-19.0595,-169.9187,78.69,89,100,4.61
128,Jamestown,US,2022-04-25 20:25:36,42.097,-79.2353,80.24,44,40,17.27
129,Sangin,AF,2022-04-25 20:26:24,32.0728,64.8359,76.64,12,1,3.44
130,Miraflores,MX,2022-04-25 20:26:24,19.2167,-98.8083,78.03,28,76,3.15
131,Anju,KP,2022-04-25 20:26:25,39.6178,125.6647,55.2,89,24,3.67
132,Namatanai,PG,2022-04-25 20:24:47,-3.6667,152.4333,78.66,80,100,4.47
133,Grand Gaube,MU,2022-04-25 20:26:25,-20.0064,57.6608,73.8,70,57,21.74
134,Arlit,NE,2022-04-25 20:26:19,18.7369,7.3853,87.98,6,0,10.69
135,General Pico,AR,2022-04-25 20:24:40,-35.6566,-63.7568,70.75,21,0,8.95
136,Bonoua,CI,2022-04-25 20:26:26,5.2741,-3.595,82.02,90,70,4.74
137,Kahului,US,2022-04-25 20:26:26,20.8947,-156.47,78.82,61,40,19.57
138,Lagoa,PT,2022-04-25 20:27:27,39.05,-27.9833,57.88,71,20,13.38
139,Avarua,CK,2022-04-25 20:23:30,-21.2078,-159.775,80.65,83,100,8.05
140,Clyde River,CA,2022-04-25 20:24:59,70.4692,-68.5914,8.83,92,100,23.02
141,Jardim,BR,2022-04-25 20:27:27,-21.4803,-56.1381,90.01,44,97,5.66
142,Ostrovnoy,RU,2022-04-25 20:27:28,68.0531,39.5131,34.43,98,100,8.93
143,Roald,NO,2022-04-25 20:27:28,62.5833,6.1333,46.76,70,75,14.97
